Airline_ID,Source_IATA,Source_ID,Destination_IATA,Destination_ID,Codeshare,Route_ID
410,AER,2965,KZN,2990,N,1
410,ASF,2966,KZN,2990,N,2
410,ASF,2966,MRV,2962,N,3
410,CEK,2968,KZN,2990,N,4
410,CEK,2968,OVB,4078,N,5
410,DME,4029,KZN,2990,N,6
410,DME,4029,NBC,6969,N,7
410,DME,4029,UUA,6160,N,8
410,EGO,6156,KGD,2952,N,9
410,EGO,6156,KZN,2990,N,10
410,GYD,2922,NBC,6969,N,11
410,KGD,2952,EGO,6156,N,12
410,KZN,2990,AER,2965,N,13
410,KZN,2990,ASF,2966,N,14
410,KZN,2990,CEK,2968,N,15
410,KZN,2990,DME,4029,N,16
410,KZN,2990,EGO,6156,N,17
410,KZN,2990,LED,2948,N,18
410,KZN,2990,SVX,2975,N,19
410,LED,2948,KZN,2990,N,20
410,LED,2948,NBC,6969,N,21
410,LED,2948,UUA,6160,N,22
410,MRV,2962,ASF,2966,N,23
410,NBC,6969,DME,4029,N,24
410,NBC,6969,GYD,2922,N,25
410,NBC,6969,LED,2948,N,26
410,NBC,6969,SVX,2975,N,27
410,NJC,2972,SVX,2975,N,28
410,NJC,2972,UUA,6160,N,29
410,NUX,4364,SVX,2975,N,30
410,OVB,4078,CEK,2968,N,31
410,OVB,4078,SVX,2975,N,32
410,SVX,2975,KZN,2990,N,33
410,SVX,2975,NBC,6969,N,34
410,SVX,2975,NJC,2972,N,35
410,SVX,2975,NUX,4364,N,36
410,SVX,2975,OVB,4078,N,37
410,UUA,6160,DME,4029,N,38
410,UUA,6160,LED,2948,N,39
410,UUA,6160,NJC,2972,N,40
8359,AYP,2786,LIM,2789,N,41
8359,CUZ,2812,LIM,2789,N,42
8359,CUZ,2812,PEM,2808,N,43
8359,HUU,6067,LIM,2789,N,44
8359,IQT,2801,PCL,2781,N,45
8359,IQT,2801,TPP,2806,N,46
8359,LIM,2789,AYP,2786,N,47
8359,LIM,2789,CUZ,2812,N,48
8359,LIM,2789,HUU,6067,N,49
8359,LIM,2789,PCL,2781,N,50
8359,LIM,2789,TPP,2806,N,51
8359,PCL,2781,IQT,2801,N,52
8359,PCL,2781,LIM,2789,N,53
8359,PCL,2781,TPP,2806,N,54
8359,PEM,2808,CUZ,2812,N,55
8359,TPP,2806,IQT,2801,N,56
8359,TPP,2806,LIM,2789,N,57
8359,TPP,2806,PCL,2781,N,58
470,ABJ,253,BOY,247,N,59
470,ABJ,253,OUA,246,N,60
470,ACC,248,OUA,246,N,61
470,BKO,1044,ABJ,253,N,62
470,BKO,1044,DKR,1084,N,63
470,BKO,1044,OUA,246,N,64
470,BOY,247,ABJ,253,N,65
470,BOY,247,OUA,246,N,66
470,COO,245,LFW,298,N,67
470,COO,245,OUA,246,N,68
470,DKR,1084,BKO,1044,N,69
470,DKR,1084,OUA,246,N,70
470,LFW,298,OUA,246,N,71
470,NIM,280,OUA,246,N,72
470,OUA,246,ABJ,253,N,73
470,OUA,246,ACC,248,N,74
470,OUA,246,BKO,1044,N,75
470,OUA,246,BOY,247,N,76
470,OUA,246,COO,245,N,77
470,OUA,246,DKR,1084,N,78
470,OUA,246,LFW,298,N,79
470,OUA,246,NIM,280,N,80
1338,BOG,2709,GYE,2673,N,81
1338,BOG,2709,UIO,2688,N,82
1338,CLO,2715,GYE,2673,N,83
1338,GYE,2673,BOG,2709,N,84
1338,GYE,2673,CLO,2715,N,85
1338,GYE,2673,SCY,6045,N,86
1338,GYE,2673,UIO,2688,N,87
1338,OCC,2670,UIO,2688,N,88
1338,SCY,6045,GYE,2673,N,89
1338,UIO,2688,BOG,2709,N,90
1338,UIO,2688,GYE,2673,N,91
1338,UIO,2688,OCC,2670,N,92
2750,BDS,1506,ZRH,1678,N,93
2750,BOD,1264,ZRH,1678,N,94
2750,BRS,490,ZRH,1678,N,95
2750,GVA,1665,LPA,1054,N,96
2750,LCA,1197,ZRH,1678,N,97
2750,LPA,1054,ZRH,1678,N,98
2750,RMF,4197,ZRH,1678,N,99
2750,TFS,1056,GVA,1665,N,100
2750,ZRH,1678,BDS,1506,N,101
2750,ZRH,1678,BOD,1264,N,102
2750,ZRH,1678,BRS,490,N,103
2750,ZRH,1678,LCA,1197,N,104
2750,ZRH,1678,LPA,1054,N,105
2750,ZRH,1678,RMF,4197,N,106
3652,AJR,730,LYC,719,N,107
3652,ARN,737,GEV,715,N,108
3652,ARN,737,HAD,709,N,109
3652,ARN,737,JKG,688,N,110
3652,ARN,737,KRF,718,N,111
3652,ARN,737,KSD,5595,N,112
3652,ARN,737,LYC,719,N,113
3652,ARN,737,MHQ,442,N,114
3652,ARN,737,OER,722,N,115
3652,ARN,737,POR,448,N,116
3652,ARN,737,TRF,664,N,117
3652,ARN,737,VBY,746,N,118
3652,ARN,737,VHM,729,N,119
3652,ARN,737,VXO,711,N,120
3652,GEV,715,ARN,737,N,121
3652,GEV,715,KRF,718,N,122
3652,HAD,709,ARN,737,N,123
3652,HAD,709,JKG,688,N,124
3652,HAD,709,VXO,711,N,125
3652,HMV,5599,VHM,729,N,126
3652,JKG,688,ARN,737,N,127
3652,JKG,688,HAD,709,N,128
3652,KOK,435,POR,448,N,129
3652,KRF,718,ARN,737,N,130
3652,KRF,718,GEV,715,N,131
3652,KSD,5595,ARN,737,N,132
3652,LYC,719,AJR,730,N,133
3652,LYC,719,ARN,737,N,134
3652,MHQ,442,ARN,737,N,135
3652,MHQ,442,TKU,460,N,136
3652,OER,722,ARN,737,N,137
3652,OSL,644,VXO,711,N,138
3652,POR,448,ARN,737,N,139
3652,POR,448,KOK,435,N,140
3652,TKU,460,MHQ,442,N,141
3652,TRF,664,ARN,737,N,142
3652,VBY,746,ARN,737,N,143
3652,VHM,729,ARN,737,N,144
3652,VHM,729,HMV,5599,N,145
3652,VXO,711,ARN,737,N,146
3652,VXO,711,OSL,644,N,147
146,ADQ,3531,KLN,7162,N,148
146,KLN,7162,KYK,7161,N,149
897,BSO,6019,MNL,2397,N,150
897,BXU,4200,MNL,2397,N,151
897,CBO,2399,MNL,2397,N,152
897,CRM,6024,MNL,2397,N,153
897,DGT,2425,MNL,2397,N,154
897,DWC,8076,MNL,2397,N,155
897,GES,2402,MNL,2397,Y,156
897,KLO,2430,MNL,2397,N,157
897,LGP,4203,MNL,2397,N,158
897,MNL,2397,BSO,6019,N,159
897,MNL,2397,BXU,4200,N,160
897,MNL,2397,CBO,2399,N,161
897,MNL,2397,CRM,6024,N,162
897,MNL,2397,DGT,2425,N,163
897,MNL,2397,DWC,8076,N,164
897,MNL,2397,GES,2402,Y,165
897,MNL,2397,KLO,2430,N,166
897,MNL,2397,LGP,4203,N,167
897,MNL,2397,MPH,2426,N,168
897,MNL,2397,OZC,4204,N,169
897,MNL,2397,PPS,2433,N,170
